original | epoch 194 | top1=0.2107 top2=0.2778 top3=0.3206 top4=0.3504 top5=0.3743 loss=0.114652 time=219.13s
original | epoch 195 | top1=0.2049 top2=0.2733 top3=0.3134 top4=0.3429 top5=0.3665 loss=0.114220 time=218.81s
original | epoch 196 | top1=0.2110 top2=0.2783 top3=0.3204 top4=0.3499 top5=0.3740 loss=0.114382 time=218.85s
original | epoch 197 | top1=0.2007 top2=0.2683 top3=0.3086 top4=0.3373 top5=0.3604 loss=0.114563 time=220.94s
original | epoch 198 | top1=0.2088 top2=0.2770 top3=0.3183 top4=0.3492 top5=0.3735 loss=0.114918 time=220.91s
original | epoch 199 | top1=0.2095 top2=0.2777 top3=0.3192 top4=0.3489 top5=0.3733 loss=0.115099 time=218.99s
original | epoch 200 | top1=0.2032 top2=0.2695 top3=0.3104 top4=0.3395 top5=0.3621 loss=0.114203 time=218.59s
original | epoch 201 | top1=0.2054 top2=0.2722 top3=0.3130 top4=0.3425 top5=0.3658 loss=0.114359 time=218.89s
original | epoch 202 | top1=0.2059 top2=0.2743 top3=0.3141 top4=0.3439 top5=0.3667 loss=0.114301 time=218.79s
original | epoch 203 | top1=0.2120 top2=0.2805 top3=0.3211 top4=0.3502 top5=0.3739 loss=0.114357 time=218.80s
original | epoch 204 | top1=0.2107 top2=0.2783 top3=0.3186 top4=0.3475 top5=0.3720 loss=0.113996 time=219.05s
original | epoch 205 | top1=0.2088 top2=0.2762 top3=0.3166 top4=0.3462 top5=0.3697 loss=0.114204 time=218.69s
original | epoch 206 | top1=0.2117 top2=0.2790 top3=0.3187 top4=0.3487 top5=0.3724 loss=0.113401 time=219.20s
original | epoch 207 | top1=0.2131 top2=0.2817 top3=0.3222 top4=0.3517 top5=0.3762 loss=0.113492 time=218.99s
original | epoch 208 | top1=0.2064 top2=0.2751 top3=0.3150 top4=0.3453 top5=0.3687 loss=0.114036 time=219.02s
original | epoch 209 | top1=0.2129 top2=0.2815 top3=0.3223 top4=0.3516 top5=0.3753 loss=0.114001 time=219.03s
original | epoch 210 | top1=0.2119 top2=0.2794 top3=0.3207 top4=0.3499 top5=0.3730 loss=0.113825 time=219.04s
original | epoch 211 | top1=0.2074 top2=0.2754 top3=0.3154 top4=0.3442 top5=0.3668 loss=0.113603 time=220.89s
original | epoch 212 | top1=0.2169 top2=0.2842 top3=0.3255 top4=0.3539 top5=0.3765 loss=0.112894 time=218.97s
original | epoch 213 | top1=0.2165 top2=0.2837 top3=0.3243 top4=0.3539 top5=0.3773 loss=0.113242 time=219.40s
original | epoch 214 | top1=0.2073 top2=0.2733 top3=0.3127 top4=0.3404 top5=0.3629 loss=0.113180 time=218.95s
original | epoch 215 | top1=0.2172 top2=0.2858 top3=0.3269 top4=0.3567 top5=0.3797 loss=0.113451 time=218.84s
original | epoch 216 | top1=0.2193 top2=0.2869 top3=0.3292 top4=0.3593 top5=0.3824 loss=0.113134 time=219.03s
original | epoch 217 | top1=0.2143 top2=0.2818 top3=0.3226 top4=0.3513 top5=0.3747 loss=0.113484 time=219.06s
original | epoch 218 | top1=0.2177 top2=0.2850 top3=0.3252 top4=0.3555 top5=0.3793 loss=0.113076 time=218.85s
